ID,county,daily_max_customers_affected,per_outage_customers_afffected,customers_served,start_time,end_time,duration
1,mobile,1138,1138,209826.0,2024-05-23 17:10:21,2024-05-23 23:55:22,0 days 06:45:01
1,monroe,4,4,14744.0,2024-05-23 18:10:26,2024-05-23 20:10:25,0 days 01:59:59
2,monroe,4,4,14744.0,2024-05-23 21:40:21,2024-05-23 23:55:22,0 days 02:15:01
1,montgomery,95,95,100029.0,2024-05-23 17:10:21,2024-05-23 23:10:22,0 days 06:00:01
1,morgan,0,0,-1.0,,,0 days 00:00:00
1,perry,4,4,4806.0,2024-05-23 21:40:21,2024-05-23 22:25:22,0 days 00:45:01
1,pickens,19,19,22844.0,2024-05-23 18:10:26,2024-05-23 19:10:23,0 days 00:59:57
2,pickens,19,4,22844.0,2024-05-23 22:10:24,2024-05-23 23:55:22,0 days 01:44:58
1,pike,0,0,-1.0,,,0 days 00:00:00
1,randolph,4,4,28056.0,2024-05-23 18:10:26,2024-05-23 18:25:18,0 days 00:14:52
2,randolph,4,4,28056.0,2024-05-23 22:10:24,2024-05-23 22:40:25,0 days 00:30:01
1,russell,4,4,22566.0,2024-05-23 23:55:22,2024-05-23 23:55:22,0 days 00:00:00
1,st. clair,7,7,47687.0,2024-05-23 18:10:26,2024-05-23 20:10:25,0 days 01:59:59
1,shelby,50,50,109123.0,2024-05-23 17:10:21,2024-05-23 23:55:22,0 days 06:45:01
1,sumter,0,0,125.0,,,0 days 00:00:00
1,talladega,17,17,28026.0,2024-05-23 17:10:21,2024-05-23 23:55:22,0 days 06:45:01
1,tallapoosa,45,4,42812.0,2024-05-23 17:10:21,2024-05-23 17:10:21,0 days 00:00:00
2,tallapoosa,45,45,42812.0,2024-05-23 21:40:21,2024-05-23 23:55:22,0 days 02:15:01
1,tuscaloosa,9,9,223052.0,2024-05-23 17:10:21,2024-05-23 20:55:25,0 days 03:45:04
2,tuscaloosa,9,4,223052.0,2024-05-23 22:10:24,2024-05-23 23:40:28,0 days 01:30:04
1,walker,18,18,77466.0,2024-05-23 17:40:19,2024-05-23 18:25:18,0 days 00:44:59
2,walker,18,4,77466.0,2024-05-23 23:40:28,2024-05-23 23:55:22,0 days 00:14:54
1,washington,0,0,125.0,,,0 days 00:00:00
1,wilcox,4,4,16302.0,2024-05-23 17:10:21,2024-05-23 18:25:18,0 days 01:14:57
2,wilcox,4,4,16302.0,2024-05-23 19:55:25,2024-05-23 19:55:25,0 days 00:00:00
3,wilcox,4,4,16302.0,2024-05-23 21:40:21,2024-05-23 23:10:22,0 days 01:30:01
1,winston,0,0,125.0,,,0 days 00:00:00
